"type","game_id","home_team","away_team","week","season","state_of_game","game_url","home_score","away_score","home_longitude","home_latitude","away_longitude","away_latitude","travel"
"reg","2019092300","WAS","CHI",3,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092300/2019092300_gtd.json",NA,NA,-76.86444,38.90778,-87.6167,41.8623,1202
"reg","2019092600","GB","PHI",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092600/2019092600_gtd.json",NA,NA,-88.06223,44.50117,-75.16729,39.90147,1462
"reg","2019092900","ATL","TEN",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092900/2019092900_gtd.json",NA,NA,-84.40121,33.75735,-86.77252,36.16654,428
"reg","2019092907","NYG","WAS",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092907/2019092907_gtd.json",NA,NA,-74.0745,40.8135,-76.86444,38.90778,396
"reg","2019092906","MIA","LAC",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092906/2019092906_gtd.json",NA,NA,-80.23889,25.95801,-118.2611,33.8644,4654
"reg","2019092905","IND","OAK",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092905/2019092905_gtd.json",NA,NA,-86.16361,39.76,-122.1999,37.75233,3866
"reg","2019092904","HOU","CAR",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092904/2019092904_gtd.json",NA,NA,-95.41092,29.68493,-80.85331,35.22584,1858
"reg","2019092903","DET","KC",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092903/2019092903_gtd.json",NA,NA,-83.04564,42.34005,-94.48388,39.04895,1280
"reg","2019092901","BAL","CLE",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092901/2019092901_gtd.json",NA,NA,-76.6227,39.2779,-81.69962,41.50618,616
"reg","2019092902","BUF","NE",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092902/2019092902_gtd.json",NA,NA,-78.78679,42.77379,-71.26491,42.09188,772
"reg","2019092909","LA","TB",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092909/2019092909_gtd.json",NA,NA,-118.2879,34.0141,-82.50349,27.97884,4296
"reg","2019092908","ARI","SEA",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092908/2019092908_gtd.json",NA,NA,-112.25876,33.52713,-122.33165,47.59476,2208
"reg","2019092910","CHI","MIN",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092910/2019092910_gtd.json",NA,NA,-87.6167,41.8623,-93.25848,44.97401,710
"reg","2019092911","DEN","JAX",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092911/2019092911_gtd.json",NA,NA,-105.02028,39.74396,-81.6369,30.32387,2936
"reg","2019092912","NO","DAL",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092912/2019092912_gtd.json",NA,NA,-90.08128,29.95116,-97.09277,32.74778,912
