team,team_code,url,geo.point,geo.shape,sector,subsector,primary_ty,sec_class,date_creat,date_modif,comp_affil,name,name2,name3,address1,address2,po_box,po_zip,city,state,zip,zip_4,county,hsip_aoi,fema_regio,latitude,longitude,reliabilit,coorsource,comments_1,conference,division,capacity,roof_type,group,region
New Orleans Saints,NO,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png,"29.9511599884,-90.0812799901","{""type"": ""Point"", ""coordinates"": [-90.08127999012783, 29.951159988373036]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Louisiana Superdome,NA,NA,1550 Sugar Bowl Drive,NA,NA,NA,New Orleans,LA,70112,70112-1255,Orleans,New Orleans,6,29.95116,-90.08128,High,NGA,Shares stadium with Tulane Green Wave(NCAA).,National,South,72968,Dome,1,utah
New York Giants,NYG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8135,-74.0745,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Jets,NYJ,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8135,-74.0745,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oakland Raiders,OAK,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Oakland_Raiders_logo.svg/100px-Oakland_Raiders_logo.svg.png,"37.7523300017,-122.199900021","{""type"": ""Point"", ""coordinates"": [-122.19990002093903, 37.75233000172909]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Oakland-Alameda County Coliseum,NA,NA,7000 Coliseum Way,NA,NA,NA,Oakland,CA,94621,,Alameda,San Francisco-Oakland,9,37.75233,-122.1999,High,NGA,Shares stadium with Athletics(MLB).,American,West,63026,Open,1,utah
Philadelphia Eagles,PHI,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,"39.9014700517,-75.1672900567","{""type"": ""Point"", ""coordinates"": [-75.16729005674796, 39.90147005168308]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Lincoln Financial Field,NA,NA,1020 Pattison Avenue,NA,NA,NA,Philadelphia,PA,19148,,Philadelphia,Philadelphia,3,39.90147,-75.16729,High,NGA,"Shares stadium with Union (MLS), Temple Owls(NCAA).",National,East,68532,Open,1,utah
Pittsburgh Steelers,PIT,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,"40.4467299846,-80.0157400416","{""type"": ""Point"", ""coordinates"": [-80.01574004161779, 40.44672998460396]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Heinz Field,NA,NA,100 Art Rooney Avenue,NA,NA,NA,Pittsburgh,PA,15212,,Allegheny,Pittsburgh,3,40.44673,-80.01574,High,NGA,Shares stadium with Pittsburgh Pathers(NCAA).,American,North,65050,Open,1,utah
San Francisco 49ers,SF,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,"37.7139900007,-122.386729971","{""type"": ""Point"", ""coordinates"": [-122.38672997089355, 37.71399000065463]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Candlestick Park,NA,NA,602 Jamestown Avenue,NA,NA,NA,San Francisco,CA,94124,,San Francisco,San Francisco-Oakland,9,37.71399,-122.38673,High,NGA,,National,West,70207,Open,1,utah
Seattle Seahawks,SEA,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,"47.5952976774,-122.331714406","{""type"": ""Point"", ""coordinates"": [-122.33171440620401, 47.595297677401895]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Qwest Stadium,NA,NA,800 Occidental Avenue South,NA,NA,NA,Seattle,WA,98134,,King,Seattle-Tacoma,10,47.59476,-122.33165,High,NGA,Shares stadium with Sounders FC(MLS).,National,West,67000,Open,1,utah
Tampa Bay Buccaneers,TB,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png,"27.978840052,-82.5034900566","{""type"": ""Point"", ""coordinates"": [-82.50349005662855, 27.978840051975624]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,Raymond James Stadium,NA,NA,4201 North Dale Mabry Highway,NA,NA,NA,Tampa,FL,33607,33607-6103,Hillsborough,Tampa-St. Petersburg,4,27.97884,-82.50349,High,NGA,Shares stadium with Southern Florida Bulls(NCAA).,National,South,65857,Open,1,utah
Tennessee Titans,TEN,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Tennessee_Titans_logo.svg/100px-Tennessee_Titans_logo.svg.png,"36.1665400441,-86.7725199962","{""type"": ""Point"", ""coordinates"": [-86.77251999621592, 36.16654004409162]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,LP Field,NA,NA,1 Titan Way,NA,NA,NA,Nashville,TN,37213,,Davidson,Nashville,4,36.16654,-86.77252,High,NGA,Shares stadium with Tenn St. Tigers (NCAA).,American,South,68798,Open,1,utah
Washington Redskins,WAS,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/100px-Washington_Redskins_logo.svg.png,"38.9076800366,-76.8642599314","{""type"": ""Point"", ""coordinates"": [-76.8642599314295, 38.90768003663766]}",High Value/Symboli,Sports Arena,NFL,UNCLASSIFIED,2/11/04,2/11/10,NA,FedEx Field,NA,NA,1600 FedEx Way,NA,NA,NA,Landover,MD,20785,,Prince George's,Washington,3,38.90778,-76.86444,High,NGA,,National,East,91704,Open,1,utah
